date,home,away,score,max_odd_home,mean_odd_home,max_odd_draw,mean_odd_draw,max_odd_away,mean_odd_away
2004-07-04 20:45:00,Portugal,Greece,0:1,1.75,1.75,3.65,3.28,5.5,4.48
2004-07-01 20:45:00,Greece,Czech Republic,1:0 ET,5.37,5.37,3.75,3.52,1.64,1.6
2004-06-30 20:45:00,Portugal,Netherlands,2:1,2.42,2.42,3.1,2.99,2.8,2.77
2004-06-27 20:45:00,Czech Republic,Denmark,3:0,1.95,1.95,3.21,3.12,3.8,3.73
2004-06-26 20:45:00,Sweden,Netherlands,0:1 pen.,3.35,3.35,3.4,3.1,2.1,2.08
2004-06-25 20:45:00,France,Greece,0:1,1.45,1.45,3.9,3.75,6.5,6.33
2004-06-24 20:45:00,Portugal,England,3:2 pen.,2.56,2.56,3.15,3.01,2.87,2.66
2004-06-23 20:45:00,Germany,Czech Republic,1:2,1.74,1.74,4.16,3.65,4.22,3.97
2004-06-23 20:45:00,Netherlands,Latvia,3:0,1.3,1.3,5.0,4.58,9.99,8.75
2004-06-22 20:45:00,Denmark,Sweden,2:2,3.35,3.35,2.5,2.36,2.8,2.65
2004-06-22 20:45:00,Italy,Bulgaria,2:1,1.22,1.22,6.1,5.13,9.99,9.99
2004-06-21 20:45:00,Croatia,England,2:4,3.9,3.9,3.2,3.17,1.85,1.85
2004-06-21 20:45:00,Switzerland,France,1:3,8.72,8.72,5.0,4.31,1.36,1.33
2004-06-20 20:45:00,Russia,Greece,2:1,4.02,4.02,3.1,3.01,2.0,1.88
2004-06-20 20:45:00,Spain,Portugal,0:1,2.62,2.62,3.1,2.98,2.65,2.55
2004-06-19 20:45:00,Netherlands,Czech Republic,2:3,2.31,2.31,3.1,2.97,3.0,2.92
2004-06-19 18:00:00,Latvia,Germany,0:0,8.64,8.64,5.0,4.39,1.4,1.34
2004-06-18 20:45:00,Italy,Sweden,1:1,1.98,1.98,3.25,3.05,3.75,3.52
2004-06-18 18:00:00,Bulgaria,Denmark,0:2,4.28,4.28,3.52,3.29,1.8,1.78
2004-06-17 20:45:00,Croatia,France,2:2,7.17,7.17,4.0,3.77,1.45,1.42
2004-06-17 18:00:00,England,Switzerland,3:0,1.4,1.4,4.26,3.91,9.0,7.75
2004-06-16 20:45:00,Russia,Portugal,0:2,6.56,6.56,4.05,3.78,1.5,1.48
2004-06-16 18:00:00,Greece,Spain,1:1,5.25,5.25,3.45,3.29,1.66,1.64
2004-06-15 20:45:00,Germany,Netherlands,1:1,3.21,3.21,3.35,3.14,2.25,2.18
2004-06-15 18:00:00,Czech Republic,Latvia,2:1,1.38,1.38,4.09,3.94,9.99,8.25
2004-06-14 20:45:00,Sweden,Bulgaria,5:0,2.08,2.08,3.25,3.18,3.25,3.12
2004-06-14 18:00:00,Denmark,Italy,0:0,4.67,4.67,3.35,3.21,1.83,1.73
2004-06-13 20:45:00,France,England,2:1,1.99,1.99,3.25,3.13,3.7,3.55
2004-06-13 18:00:00,Switzerland,Croatia,0:0,3.03,3.03,3.25,3.1,2.25,2.23
2004-06-12 20:45:00,Spain,Russia,1:0,1.63,1.63,3.5,3.39,6.35,5.21
2004-06-12 18:00:00,Portugal,Greece,1:2,1.52,1.52,3.6,3.48,8.05,6.44
