date,kind,home,away,score,max_odd_home,mean_odd_home,max_odd_draw,mean_odd_draw,max_odd_away,mean_odd_away
2024-06-17 15:00:00,,Romania,Ukraine,1:0,5.1,4.77,3.68,3.55,1.86,1.84
2024-06-16 21:00:00,,Serbia,England,0:1,7.47,6.9,4.61,4.45,1.54,1.5
2024-06-16 18:00:00,,Slovenia,Denmark,1:1,6.17,5.75,3.8,3.63,1.73,1.69
2024-06-16 15:00:00,,Poland,Netherlands,1:2,7.5,6.82,4.45,4.35,1.54,1.51
2024-06-15 21:00:00,,Italy,Albania,2:1,1.39,1.36,5.3,4.97,12,10.63
2024-06-15 18:00:00,,Spain,Croatia,3:0,1.99,1.94,3.49,3.45,4.54,4.36
2024-06-15 15:00:00,,Hungary,Switzerland,1:3,4.13,3.9,3.25,3.13,2.25,2.16
2024-06-14 21:00:00,,Germany,Scotland,5:1,1.33,1.31,6,5.83,10.7,10.15
2024-03-26 20:45:00,Promotion - Qualification,Ukraine,Iceland,2:1,1.65,1.62,4.05,3.83,6.33,6.12
2024-03-26 20:45:00,Promotion - Qualification,Wales,Poland,0:1 pen.,2.8,2.72,3.05,2.95,3.05,2.97
2024-03-26 18:00:00,Promotion - Qualification,Georgia,Greece,1:0 pen.,3.46,3.37,3.1,2.96,2.49,2.44
2024-03-21 20:45:00,Promotion - Qualification,Bosnia & Herzegovina,Ukraine,1:2,3.9,3.79,3.31,3.23,2.18,2.13
2024-03-21 20:45:00,Promotion - Qualification,Greece,Kazakhstan,5:0,1.37,1.34,5.1,4.96,11.5,10.43
2024-03-21 20:45:00,Promotion - Qualification,Israel,Iceland,1:4,2.4,2.33,3.45,3.36,3.2,3.13
2024-03-21 20:45:00,Promotion - Qualification,Poland,Estonia,5:1,1.22,1.19,7.42,6.9,18,16.86
2024-03-21 20:45:00,Promotion - Qualification,Wales,Finland,4:1,1.87,1.84,3.39,3.31,5.32,5.12
2024-03-21 18:00:00,Promotion - Qualification,Georgia,Luxembourg,2:0,1.85,1.82,3.59,3.49,5.4,5.09
2023-11-21 20:45:00,Qualification,Andorra,Israel,0:2,11.45,9.5,5.33,4.96,1.4,1.36
2023-11-21 20:45:00,Qualification,Croatia,Armenia,1:0,1.16,1.12,11,9.28,31,23.86
2023-11-21 20:45:00,Qualification,Gibraltar,Netherlands,0:6,151,99.27,41,25.44,1.01,1.01
2023-11-21 20:45:00,Qualification,Greece,France,2:2,6.5,5.81,4,3.86,1.67,1.62
